,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
132,20155054592,1,THEFT FROM AUTO               ,Theft,15-Dec-15,1000 COLLINWOOD WEST DR                                                                             ,,,E,78753,18.33,3134997,10108805,30.371323,-97.67442
133,20155054922,1,THEFT                         ,Theft,16-Dec-15,1000 COLLINWOOD WEST DR                                                                             ,,,E,78753,18.33,3134997,10108805,30.371323,-97.67442
134,20155034225,3,BURGLARY OF VEHICLE           ,Theft,4-Aug-15,1000 CUMBERLAND RD                                                                                  ,N,21-Oct-15,D,78704,13.07,3107195,10060377,51.490966,0.3071349
135,20155007043,1,BURGLARY OF VEHICLE           ,Theft,18-Feb-15,1000 E 11TH ST                                                                                      ,N,20-Feb-15,C,78702,8.04,3118364,10071415,26.141704,-97.893854
136,201531167,9,AUTO THEFT                    ,Auto Theft,3-Jan-15,1000 E 41ST ST                                                                                      ,N,27-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
137,201531138,9,THEFT BY SHOPLIFTING          ,Theft,3-Jan-15,1000 E 41ST ST                                                                                      ,C,7-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
138,201540689,9,THEFT BY SHOPLIFTING          ,Theft,4-Jan-15,1000 E 41ST ST                                                                                      ,C,8-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
139,20158000063,9,THEFT BY SHOPLIFTING          ,Theft,8-Jan-15,1000 E 41ST ST                                                                                      ,N,22-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
140,201581471,9,THEFT BY SHOPLIFTING          ,Theft,8-Jan-15,1000 E 41ST ST                                                                                      ,C,17-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
141,201591476,9,THEFT BY SHOPLIFTING          ,Theft,9-Jan-15,1000 E 41ST ST                                                                                      ,C,27-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
142,201591091,9,THEFT BY SHOPLIFTING          ,Theft,9-Jan-15,1000 E 41ST ST                                                                                      ,C,26-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
143,2015100732,9,THEFT BY SHOPLIFTING          ,Theft,10-Jan-15,1000 E 41ST ST                                                                                      ,C,26-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
144,2015130832,9,THEFT BY SHOPLIFTING          ,Theft,13-Jan-15,1000 E 41ST ST                                                                                      ,C,14-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
145,2015160902,9,THEFT                         ,Theft,16-Jan-15,1000 E 41ST ST                                                                                      ,C,20-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
146,2015201241,9,THEFT BY SHOPLIFTING          ,Theft,20-Jan-15,1000 E 41ST ST                                                                                      ,N,24-Mar-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
147,2015200851,9,THEFT BY SHOPLIFTING          ,Theft,20-Jan-15,1000 E 41ST ST                                                                                      ,N,23-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
148,20155002695,9,BURGLARY OF VEHICLE           ,Theft,20-Jan-15,1000 E 41ST ST                                                                                      ,N,10-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
149,2015210947,9,THEFT                         ,Theft,21-Jan-15,1000 E 41ST ST                                                                                      ,C,23-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
